TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL0 0,1.90,0.02,0.02,0.50,0.31,0.02,0.04,0.22,0.00,0.09,0.01,1.32
AT0 0,45.50,3.83,3.65,26.68,7.36,3.02,1.50,10.66,2.51,3.53,0.37,26.89
BA0 0,4.94,0.40,0.38,1.09,1.08,0.33,0.08,0.26,0.00,0.83,0.01,2.66
BE0 0,68.81,2.63,2.50,23.25,21.53,1.49,2.61,54.59,5.39,4.56,1.91,37.21
BG0 0,13.53,0.00,0.00,4.23,3.71,-0.11,0.49,8.91,1.96,1.10,0.31,8.68
CH0 0,18.78,0.21,0.20,7.09,4.76,0.04,0.71,10.51,0.19,1.58,0.37,11.37
CZ0 0,40.06,2.68,2.55,11.94,6.77,2.07,1.30,11.06,1.13,3.17,0.39,22.49
DE0 0,354.58,16.41,15.64,129.13,105.46,10.54,13.36,241.36,15.68,24.71,8.45,222.76
DK0 0,12.70,0.00,0.00,5.25,1.15,0.00,0.41,0.00,0.00,1.43,0.00,5.83
DK1 0,4.24,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.00,0.04,0.00,2.57
EE2 0,3.15,0.00,0.00,2.31,0.22,0.00,0.13,0.00,0.22,0.25,0.00,2.06
ES0 0,154.11,2.57,2.45,47.83,25.43,1.68,4.30,34.98,2.51,12.50,1.22,75.24
ES3 0,0.76,0.00,0.00,0.42,0.10,0.00,0.03,0.00,0.00,0.10,0.00,0.47
FI1 0,49.04,1.43,1.36,55.27,5.44,1.02,1.77,12.62,0.49,1.21,0.44,37.83
FR0 0,173.10,5.37,5.11,73.40,33.93,3.66,6.36,61.23,6.52,13.25,2.14,106.13
GB4 0,154.50,4.94,4.71,47.78,19.26,3.62,5.53,36.15,5.10,8.98,1.27,89.73
GB5 0,3.30,0.00,0.00,1.16,0.74,-0.01,0.13,1.19,0.17,0.40,0.04,2.01
GR0 0,18.17,0.00,0.00,6.37,5.45,-0.03,0.42,2.37,0.75,3.19,0.08,12.57
HR0 0,6.02,0.00,0.00,3.31,1.40,0.00,0.26,0.00,2.35,1.50,0.00,3.40
HU0 0,21.83,0.82,0.78,7.51,6.56,0.50,0.84,14.30,2.07,1.67,0.50,15.11
IE5 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,0.00,1.10,0.00,9.84
IT0 0,172.14,2.62,2.49,61.41,23.86,1.84,5.80,25.81,3.38,14.66,0.90,108.94
IT6 0,5.34,0.00,0.00,1.10,0.67,-0.02,0.15,1.46,0.19,0.30,0.05,3.24
LT2 0,3.68,0.00,0.00,2.47,0.42,0.00,0.14,0.00,5.50,0.52,0.00,2.62
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.00,0.65,0.00,3.16
LV2 0,3.78,0.00,0.00,3.83,0.70,-0.00,0.16,0.29,0.00,0.66,0.01,1.70
ME0 0,0.75,0.01,0.01,0.29,0.16,0.01,0.02,0.08,0.00,0.15,0.00,0.36
MK0 0,2.07,0.25,0.24,0.32,0.35,0.20,0.03,0.14,0.00,0.10,0.00,1.37
NL0 0,78.53,3.76,3.58,22.99,41.06,1.58,3.68,122.89,14.43,2.62,4.30,32.29
NO1 0,33.63,0.91,0.86,9.26,12.28,0.50,0.89,19.99,1.88,6.31,0.70,17.16
PL0 0,71.93,2.91,2.77,36.29,14.25,2.24,2.15,12.65,13.80,10.27,0.44,47.61
PT0 0,27.14,0.00,0.00,17.64,4.74,-0.06,1.02,4.78,0.00,3.46,0.17,15.48
RO0 0,33.14,1.23,1.17,10.24,10.24,0.83,1.07,14.45,3.14,5.04,0.51,20.10
RS0 0,15.02,0.56,0.54,4.35,3.48,0.38,0.47,7.07,0.46,0.57,0.25,9.87
SE1 0,56.71,1.58,1.50,59.75,7.58,1.09,2.06,16.66,0.00,2.16,0.58,50.28
SI0 0,7.05,0.00,0.00,3.48,1.21,-0.02,0.23,1.26,0.00,0.88,0.04,6.20
SK0 0,16.34,2.31,2.20,6.16,2.90,1.90,0.35,0.48,2.45,2.55,0.02,11.27
